Year;January;February;March;April;May;June;July;August;September;October;November;December
1959;25.1240964155925;25.3530053789949;25.7244453774143;25.5098619191689;24.9410965913009;24.3075998666083;23.3177080364881;23.0844968683913;23.6011168511627;23.9815509687093;24.1664565496645;24.5287694713863
1960;24.974935402915;25.1355213675147;25.2324108789072;25.2232582497955;24.9954249910702;24.2270981905163;23.4038119258599;23.4801669788691;23.653388021825;24.0813882179236;24.3820321594991;24.7044022654823
1961;24.9763307725428;25.0529855586752;25.58491143747;25.2976861501272;25.2344124216997;24.2681565273554;23.1709078118182;22.9966747326773;23.3247195527823;23.7111056352281;23.8302012335408;24.1943067444878
1962;24.615954024776;25.1838577970342;25.1252963399534;25.0864630468742;24.8282068761462;23.9523609488772;23.5843370389966;23.232552373114;23.5323213452431;23.9131114017775;24.0234329812393;24.2971800550255
1963;24.4302865001172;25.0776287129906;25.2783151531407;25.1883633347093;24.9755092695154;24.765349732362;23.9990868678335;23.9389926437635;24.1160818782292;24.2884723968804;24.0824899945647;24.4001907156928
1964;25.0194175743111;25.4471158646228;25.757238854411;25.4078043493766;25.217150089271;24.3456619113156;23.649546469061;23.0226024980049;23.0457946436097;23.2984170029711;23.7613376193382;23.7113405190638
1965;24.2067822265277;24.7743114032295;25.2020109215686;25.1065259900087;25.2978137232703;24.3185180211131;23.797196960936;23.400128694153;23.5902339788267;23.9125194926222;23.9829860602969;24.0966326181187
1966;24.8871980955478;25.2036963890286;25.6324534277944;25.7171352143288;25.4762590304905;24.9119018482869;24.3890812723212;23.5529671290237;23.5086834257309;24.0165604681883;24.2394251757173;24.5726899619912
1967;24.7593780245625;25.2141430755163;25.2885987481575;25.1179192493804;24.8332255875344;23.9202875209607;22.9431711893944;22.9170081623764;23.316056812097;23.5743641348849;23.8903309759386;24.226710558978
1968;24.4496659515994;24.919945001971;24.7268929241118;24.9214627020099;24.58183394768;24.1632878141617;23.7614836601225;23.605299323196;23.8490714787826;24.36342891573;24.3818275984912;24.4208486380508
1969;24.8423447765182;25.6125931091632;25.8101698535842;25.9602700237501;25.4333603058254;24.3467339319107;23.2120746873772;23.2570670568817;23.5946221926635;23.9978893995271;24.1726567177724;24.5392127099512
1970;24.8226277119941;25.5700006356123;25.5602383854132;25.5009081832468;25.0821982970122;24.1582229572863;23.3416437998508;23.2441700308577;23.5966952916617;24.0997242240611;24.422336251421;24.5217939457381
1971;24.657500785855;25.0606602097077;25.4514834381548;25.2097350715474;24.9916392663162;24.252968569184;23.1043809446273;22.8486341532093;23.423133471132;23.7866480175601;23.8853428235373;24.0164887230554
1972;24.4976202757034;24.9281777914082;25.1969385076023;25.1810781100242;25.0204623421467;23.9833553658894;23.4941195888154;23.2597192652123;23.6695048409482;24.1750432471213;24.4114044469206;25.0787251052043
1973;25.4357465045515;26.0076239369714;26.17168493542;25.8009631440398;25.3624013464379;24.5813968171954;23.8430090858906;23.6430159616112;24.0104747427778;24.4066444714367;24.41033072598;24.3894597881184
1974;24.4527962876334;25.0786280910481;25.1703311236314;25.1637613193083;24.6505498679846;24.3645739094854;23.350754534339;23.3528530912877;23.5235405250104;23.9159315664563;24.0939728054652;24.2524679591347
1975;24.7395886481235;24.9720296069484;25.2585842024617;25.1933065696508;24.8455557844991;24.2138130134039;23.1330075360909;22.9452345114061;23.193422653139;23.7633623529538;24.107821174787;24.2499251869287
1976;24.5014203116985;24.5562443149443;25.1094425075982;25.0103319671505;24.6747695418111;23.7192940739873;22.8250051605109;22.6983460948676;23.4242812987966;23.8509307121045;23.8812700237876;24.1764288869944
1977;24.5984712614482;25.1180446970916;25.3540195878436;25.3204048912105;24.9673294741791;24.0529970298458;23.3409122262068;23.3395149200744;23.8986294648361;24.2284077871609;24.198092185851;24.4287305423049
1978;24.8027372122307;25.2995516652811;25.2403420459485;25.120574338852;24.9006452305674;23.9360525574963;23.1726783437841;23.0851097484742;23.4678455670228;23.8744900851018;24.1183277512213;24.4859948719414
1979;24.8607492215614;25.2440872458019;25.5077886784752;25.4794014106383;25.185880641377;24.2741860941331;23.6261365375389;23.524401608302;23.9693293104646;24.3194301147692;24.4860456461467;24.6329103894814
1980;24.9923272922231;25.3158651576985;25.6026877465527;25.7016872449939;25.0766558319834;24.2005294894053;23.39062314889;23.3744530995068;23.9148484463837;24.2637573557366;24.2344274352567;24.4470276766554
1981;24.7907751872949;25.4882601633724;25.4471138808864;25.597919363805;25.0530543754355;24.4232576025137;23.3350443811771;23.3884741955906;23.8384879144834;24.4632520898622;24.6439857787115;24.8495152751151
1982;24.9834721763391;25.4364194162764;25.7978608637063;25.4537053173827;25.0015195960627;23.9895911940206;23.1229313832229;23.0468231164678;23.6286865362132;23.8384025665866;24.2018793275595;24.5169906114444
1983;25.3483039237347;26.1187844007699;26.3809306785719;26.1449996189478;25.468773542893;24.135972283529;23.3967876097428;23.3314338392397;23.7946330288751;23.9897663768372;24.3189381953746;24.4894976780998
1984;24.8472442747954;25.4366959113446;25.7772526764537;25.6240089453445;25.2676804840134;24.5516679767725;23.7189827690685;23.8569990562057;24.1215097116334;24.4187340222837;24.3618867968406;24.5891029718512
1985;24.9933811285679;25.3400622074836;25.6903116975543;25.2547387766886;24.9415936117319;24.0823872653585;23.4774588480649;23.4852129902487;23.6730393396571;24.1648143937826;24.4523610464216;24.6328384081893
1986;24.987712412887;25.3702448039913;25.2941520765047;25.6181749182972;25.2906625897193;24.3673389546315;23.4396380634889;23.5174256575675;23.9552624939801;24.2334206418035;24.228509241108;24.5133977814391
1987;25.0610555400325;25.5473568514257;25.9770235277931;26.0151226494782;25.5898635519935;24.8747133560715;24.3916902635374;24.1376875070349;24.4485570901854;24.8021882367988;25.075056090275;25.3940222935287
1988;25.3971515432308;26.0890041248962;26.2136424716285;25.9695540517822;25.7707076216037;24.8556737375268;24.0552015749961;24.0470673583651;24.1059225501281;24.5162107668814;24.6273596116525;24.6814772630456
1989;25.0312399347582;25.4943587358377;25.6358792460878;25.5693009906779;25.1504412378817;24.6222591892175;23.6976849027953;23.6328353319597;23.9803386696118;24.2797702176262;24.7500821885757;24.7390837399787
1990;25.0637832720416;25.4597628453973;25.7288336857147;25.8564445669738;25.3940969198026;24.5765853590289;23.5049177744999;23.4848892161297;23.9661069196155;24.5259687662169;24.8060552947451;24.9282612972642
1991;25.2155133178164;25.8585936619688;26.1070500804334;25.7094512113961;25.591204463334;24.9841101837497;23.8669246812666;23.7095836370937;23.9315354480255;23.7763936118074;24.177901527878;24.6909785574449
1992;25.1734992451206;25.7594304580429;26.1144117262016;25.7154996236697;24.9685787557908;23.9067371844167;22.9534690956525;23.0864548162148;23.5262400123917;23.9656112689072;24.1742208466894;24.5395165050109
1993;24.876825515784;25.3692053261195;25.5779868749545;25.7309382411043;25.460008167465;24.4098066889485;23.6260160964005;23.6329847262031;24.2131452971792;24.7761183509278;24.9372240072317;25.124521549195
1994;25.3148519407179;25.6872201388437;25.9581068536731;25.8008907376613;25.3428195066114;24.1986092798051;23.2077158989636;23.49641642494;23.9695757188642;24.2663472652979;24.4988475000556;24.9416466530646
1995;25.4106917249338;25.6038072351259;25.9968654732465;25.9611640276196;25.5625762187567;24.9018437852056;24.0411086393158;23.8984050192323;24.2290034748617;24.4068480405765;24.76070405788;24.8840869828641
1996;25.2061650072788;25.6554217418091;25.8123331653567;25.7799976008449;25.4519448457942;25.0260952088769;23.9215771385458;23.6848146099807;23.9453851398382;24.3250970828727;24.430062196209;24.6594311975281
1997;25.0843858387078;25.6859612691727;25.9020964815985;25.3605555269526;25.0768312981909;23.990897956756;23.4959519944641;23.817492756938;24.3544447625166;24.8024419188985;24.7708290956806;25.1218176692545
1998;25.7674397937446;26.753076745453;26.8157183232154;26.7112882046927;26.1584973864774;25.1674858316249;24.2030667827203;23.9731907478244;24.2416231556448;24.7035078837583;24.9882554843416;25.0895492211575
1999;25.2097418729293;25.8411160941411;25.7513461182127;25.664037345139;25.2957711832589;24.8982044790904;23.9744234038359;23.7750223776391;23.9191741252922;24.2593932773593;24.5810966589859;24.8365777714221
2000;25.1630823146788;25.4439503881155;25.9095045562448;25.6774568023127;25.50889418643;24.3957353382094;23.4969723434493;23.4593567811268;23.7167494597404;24.2897484589334;24.5522456219185;24.6681235525639
2001;24.7411182978126;25.5267380370138;25.7312245131591;25.6060324205812;25.5095798035142;24.3352465395238;23.4872415024098;23.4486451241345;23.8464238991703;24.5611585495489;24.5767766006638;24.9143051921633
2002;25.1356195152346;25.8948864972011;25.8666794187536;25.7415796171499;25.7438558602014;24.7760910037047;24.0163122177479;23.6829675624681;23.9827577416839;24.3278452190277;24.6595673668622;25.0989358839321
2003;25.5904662300035;26.1773430711734;26.1709645084852;25.9231827965546;25.5657441985504;24.4300036287534;24.0064834179158;23.9647454624337;24.3698481450142;24.9181849554689;24.9716756989288;25.230501627089
2004;25.7215743440664;25.9407027785558;26.3297484374959;25.7164540842674;25.5035730024731;24.3117322729136;23.8019676580428;23.7473107609725;24.3011072863092;24.6884481599755;24.8444584948808;25.2731302329815
2005;25.9423984480886;26.6240265217426;26.3867375000914;26.2391357986853;25.3856410072526;24.2134340725204;23.6846067427454;23.741184085575;24.3322575683239;24.692960640728;25.0492498996493;25.296721912543
2006;25.5353201529842;26.0132589291335;26.1287207002219;25.8247804972323;25.4131732847025;25.0511001589256;24.1758780695216;23.8054781629877;24.1752291043289;24.8516877970922;24.7078570841127;25.0755306755919
2007;25.9009497402658;26.1226388005887;26.237730132521;26.0434117223634;25.7737280491949;24.8032898717445;24.0639166957687;23.7598346556268;24.2440827053858;24.5151660462777;24.8044173424951;25.0201437635277
2008;25.2825733377798;25.7850805475069;25.8018199292359;25.6823369355441;25.5166805407143;24.6961347606581;24.0609656044877;23.9959408508356;24.478157129438;24.8384915102631;25.0892127416791;25.3228641575606
2009;25.4555406041724;25.7940648896476;26.2467958078539;25.9814985064813;25.7256183796384;24.8985931024969;23.8773172400898;23.7725170130337;24.3624310490906;24.6779606179642;24.90008676154;25.2067062366924
2010;25.796352657263;26.5322733289676;26.5437514166862;26.5343579525295;26.0783013474859;25.0245262150826;24.057153713306;24.1003630344127;24.4467018243363;25.0927517746427;25.1766024228587;25.2603534591685
2011;25.4392759494558;25.8256247187646;26.1698417609165;26.1112910254586;25.8796134272919;24.6571344558671;23.9878765372966;23.8667860558779;24.3462375254933;24.6429080902981;24.7230672412389;24.8753248191999
2012;25.3605208115656;25.4723628305119;26.0980717839655;25.823692087196;25.4049216970013;24.6614140365202;23.8639091657845;23.8290713539674;24.2260609797718;24.7401537768374;25.0374650884983;25.1351403484312
2013;25.8153829239075;26.1394585236418;26.2751385833174;25.9514545825941;25.683461714081;24.7450699479467;23.8834580850331;23.697634364749;24.1482840128525;24.6078850825188;24.7672541665347;25.0295563093392
2014;25.5588552015947;25.9532022071277;26.0237126059305;25.9674265889603;25.8695421865331;25.0058028607978;23.8685597051439;23.6254296189044;24.1085793871769;24.7445569631608;24.7827137548969;25.0231804860965
2015;25.4682948011759;26.0170978369156;26.214299041144;25.881768993046;25.8008512990925;24.560355986481;24.1049513694664;23.9997132562166;24.4160294338659;24.9539724102382;25.0589306749607;25.3950220494408
2016;26.1347319882858;26.6874767554776;26.8975835346893;26.5236457287555;25.9231697605725;25.0680603494083;24.3896500378852;24.2543900107759;24.6016661161469;25.2589830279411;25.3664413200734;25.6141450522709
2017;25.9843916443204;26.1227223536765;26.4612539600836;26.3874478194169;25.984971745521;25.2179612012982;24.1147303869613;24.1127574194193;24.5313619314658;25.0198311833498;25.0084175198322;25.4615974237097
2018;25.4583574626239;26.150169944475;26.0327488558402;25.7443530695598;25.590999382776;24.9617518214452;24.2427390545998;24.1673325582109;24.723040885884;25.2035553075853;25.5219518951022;25.4081022404588
2019;25.9815711490189;26.6157230262723;26.8188069063215;26.7031550743935;26.0922600503368;25.1304191975024;24.3225683857488;24.2194810678394;24.7467800231842;24.92392404656;25.4948432870685;25.6374134772634
2020;26.2975265599724;26.7231286076947;26.7537411554504;26.5597020270384;26.2270828997299;25.0185810515653;24.2121614111582;24.1740808043461;24.383921148867;25.0143094530895;25.2341548665909;25.4640933419513
2021;25.6437993136516;26.3954546518322;26.2321045867226;26.283691651719;26.010738450346;25.5188016272406;24.8175597378187;24.6878861485615;24.891714307614;25.4323230006171;25.6670487042211;25.7885708844651
